SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description","Risk if Primary Control
Not Implemented",Possible Compensating Control #1,Compensating Control Name,Compensating Control #,Compensating Control Justification,Possible Compensating Control #2,Compensating Control Name,Compensating Control #,Compensating Control Justification
Baseline Tailoring,CFG-02.9,"Mechanisms exist to allow baseline controls to be specialized or customized by applying a defined set of tailoring actions that are specific to:
(1) Mission / business functions;
(2) Operational environment;
(3) Specific threats or vulnerabilities; or
(4) Other conditions or situations that could affect mission / business success.","Without Baseline Tailoring, systems may operate with insecure settings or unauthorized changes, expanding the attack surface.",CFG-07,Zero-Touch Provisioning (ZTP),"Mechanisms exist to implement Zero-Touch Provisioning (ZTP), or similar technology, to automatically and securely configure devices upon being added to a network.","Zero-Touch Provisioning (ZTP) (CFG-07) provides access control enforcement that compensates for the absence of Baseline Tailoring (CFG-02.9) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",VPM-01,Vulnerability & Patch Management Program (VPMP),Mechanisms exist to facilitate the implementation and monitoring of vulnerability management controls.,"Vulnerability & Patch Management Program (VPMP) (VPM-01) provides policy-level governance that compensates for the absence of Baseline Tailoring (CFG-02.9) by establishing documented expectations, accountability structures, and organizational guardrails. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Least Functionality,CFG-03,"Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services.","Not Applicable (N/A) - Not eligible for a compensating control, due to being a material control (control weighting of 10/10). A deficiency with or absence of a material control would be a material weakness to the organization's Security, Compliance & Resilience Program (SCRP).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Periodic Review,CFG-03.1,"Mechanisms exist to periodically review system configurations to identify and disable unnecessary and/or non-secure functions, ports, protocols and services.","Without Periodic Review, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CFG-02,Secure Baseline Configurations,"Mechanisms exist to develop, document and maintain secure baseline configurations for Technology Assets, Applications and/or Services (TAAS) that are consistent with industry-accepted system hardening standards.","Secure Baseline Configurations (CFG-02) provides configuration hardening that compensates for the absence of Periodic Review (CFG-03.1) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",END-03,Prohibit Installation Without Privileged Status,Automated mechanisms exist to prohibit software installations without explicitly assigned privileged status.,"Prohibit Installation Without Privileged Status (END-03) provides access control enforcement that compensates for the absence of Periodic Review (CFG-03.1) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Prevent Unauthorized Software Execution,CFG-03.2,Mechanisms exist to configure systems to prevent the execution of unauthorized software programs.,"Without Prevent Unauthorized Software Execution, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",NET-03,Boundary Protection,Mechanisms exist to monitor and control communications at the external network boundary and at key internal boundaries within the network.,"Boundary Protection (NET-03) provides network-level access restriction that compensates for the absence of Prevent Unauthorized Software Execution (CFG-03.2) by limiting attacker reach and lateral movement opportunities across the environment. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CFG-03,Least Functionality,"Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services.","Least Functionality (CFG-03) provides configuration hardening that compensates for the absence of Prevent Unauthorized Software Execution (CFG-03.2) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Explicitly Allow / Deny Applications,CFG-03.3,Mechanisms exist to explicitly allow (allowlist / whitelist) and/or block (denylist / blacklist) applications that are authorized to execute on systems.,"Without Explicitly Allow / Deny Applications, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",END-03,Prohibit Installation Without Privileged Status,Automated mechanisms exist to prohibit software installations without explicitly assigned privileged status.,"Prohibit Installation Without Privileged Status (END-03) provides access control enforcement that compensates for the absence of Explicitly Allow / Deny Applications (CFG-03.3) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CFG-03,Least Functionality,"Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services.","Least Functionality (CFG-03) provides configuration hardening that compensates for the absence of Explicitly Allow / Deny Applications (CFG-03.3) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Split Tunneling,CFG-03.4,Mechanisms exist to prevent split tunneling for remote devices unless the split tunnel is securely provisioned using organization-defined safeguards.,"Without Split Tunneling, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CFG-02,Secure Baseline Configurations,"Mechanisms exist to develop, document and maintain secure baseline configurations for Technology Assets, Applications and/or Services (TAAS) that are consistent with industry-accepted system hardening standards.","Secure Baseline Configurations (CFG-02) provides configuration hardening that compensates for the absence of Split Tunneling (CFG-03.4) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CFG-03,Least Functionality,"Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services.","Least Functionality (CFG-03) provides configuration hardening that compensates for the absence of Split Tunneling (CFG-03.4) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Software Usage Restrictions,CFG-04,Mechanisms exist to enforce software usage restrictions to comply with applicable contract agreements and copyright laws.,"Without Software Usage Restrictions, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CFG-03,Least Functionality,"Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services.","Least Functionality (CFG-03) provides configuration hardening that compensates for the absence of Software Usage Restrictions (CFG-04) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CFG-06,Configuration Enforcement,"Automated mechanisms exist to monitor, enforce and report on configurations for endpoint devices.","Configuration Enforcement (CFG-06) provides configuration hardening that compensates for the absence of Software Usage Restrictions (CFG-04) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Open Source Software,CFG-04.1,Mechanisms exist to establish parameters for the secure use of open source software.,"Without Open Source Software, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",IAC-21,Least Privilege,"Mechanisms exist to utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions.","Least Privilege (IAC-21) provides access control enforcement that compensates for the absence of Open Source Software (CFG-04.1) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CFG-03,Least Functionality,"Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services.","Least Functionality (CFG-03) provides configuration hardening that compensates for the absence of Open Source Software (CFG-04.1) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Unsupported Internet Browsers & Email Clients,CFG-04.2,Mechanisms exist to allow only approved Internet browsers and email clients to run on systems.,"Without Unsupported Internet Browsers & Email Clients, AI and autonomous technology risks may go ungoverned, leading to unintended outcomes or exploitation.",CFG-03,Least Functionality,"Mechanisms exist to configure systems to provide only essential capabilities by specifically prohibiting or restricting the use of ports, protocols, and/or services.","Least Functionality (CFG-03) provides configuration hardening that compensates for the absence of Unsupported Internet Browsers & Email Clients (CFG-04.2) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",IAC-21,Least Privilege,"Mechanisms exist to utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions.","Least Privilege (IAC-21) provides access control enforcement that compensates for the absence of Unsupported Internet Browsers & Email Clients (CFG-04.2) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
User-Installed Software,CFG-05,Mechanisms exist to restrict the ability of non-privileged users to install unauthorized software.,"Not Applicable (N/A) - Not eligible for a compensating control, due to being a material control (control weighting of 10/10). A deficiency with or absence of a material control would be a material weakness to the organization's Security, Compliance & Resilience Program (SCRP).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Unauthorized Installation Alerts,CFG-05.1,Mechanisms exist to configure systems to generate an alert when the unauthorized installation of software is detected.,"Without Unauthorized Installation Alerts, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",IAC-21,Least Privilege,"Mechanisms exist to utilize the concept of least privilege, allowing only authorized access to processes necessary to accomplish assigned tasks in accordance with organizational business functions.","Least Privilege (IAC-21) provides access control enforcement that compensates for the absence of Unauthorized Installation Alerts (CFG-05.1) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CFG-04,Software Usage Restrictions,Mechanisms exist to enforce software usage restrictions to comply with applicable contract agreements and copyright laws.,"Software Usage Restrictions (CFG-04) provides overlapping security capability that compensates for the absence of Unauthorized Installation Alerts (CFG-05.1) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Restrict Roles Permitted To Install Software,CFG-05.2,"Mechanisms exist to configure systems to prevent the installation of software, unless the action is performed by a privileged user or service.","Without Restrict Roles Permitted To Install Software, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CFG-04,Software Usage Restrictions,Mechanisms exist to enforce software usage restrictions to comply with applicable contract agreements and copyright laws.,"Software Usage Restrictions (CFG-04) provides overlapping security capability that compensates for the absence of Restrict Roles Permitted To Install Software (CFG-05.2) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CFG-05,User-Installed Software,Mechanisms exist to restrict the ability of non-privileged users to install unauthorized software.,"User-Installed Software (CFG-05) provides overlapping security capability that compensates for the absence of Restrict Roles Permitted To Install Software (CFG-05.2) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Configuration Enforcement,CFG-06,"Automated mechanisms exist to monitor, enforce and report on configurations for endpoint devices.","Without Configuration Enforcement, systems may operate with insecure settings or unauthorized changes, expanding the attack surface.",MON-01,Continuous Monitoring,Mechanisms exist to facilitate the implementation of enterprise-wide monitoring controls.,"Continuous Monitoring (MON-01) provides detective monitoring capability that compensates for the absence of Configuration Enforcement (CFG-06) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CHG-06,Control Functionality Verification,"Mechanisms exist to verify the functionality of security, compliance and resilience controls following implemented changes to ensure applicable controls operate as designed.","Control Functionality Verification (CHG-06) provides overlapping security capability that compensates for the absence of Configuration Enforcement (CFG-06) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Integrity Assurance & Enforcement (IAE),CFG-06.1,Automated mechanisms exist to identify unauthorized deviations from an approved baseline and implement automated resiliency actions to remediate the unauthorized change.,"Without Integrity Assurance & Enforcement (IAE), residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CHG-06,Control Functionality Verification,"Mechanisms exist to verify the functionality of security, compliance and resilience controls following implemented changes to ensure applicable controls operate as designed.","Control Functionality Verification (CHG-06) provides overlapping security capability that compensates for the absence of Integrity Assurance & Enforcement (IAE) (CFG-06.1) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",MON-01,Continuous Monitoring,Mechanisms exist to facilitate the implementation of enterprise-wide monitoring controls.,"Continuous Monitoring (MON-01) provides detective monitoring capability that compensates for the absence of Integrity Assurance & Enforcement (IAE) (CFG-06.1) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Zero-Touch Provisioning (ZTP),CFG-07,"Mechanisms exist to implement Zero-Touch Provisioning (ZTP), or similar technology, to automatically and securely configure devices upon being added to a network.","Without Zero-Touch Provisioning (ZTP), residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CFG-02,Secure Baseline Configurations,"Mechanisms exist to develop, document and maintain secure baseline configurations for Technology Assets, Applications and/or Services (TAAS) that are consistent with industry-accepted system hardening standards.","Secure Baseline Configurations (CFG-02) provides configuration hardening that compensates for the absence of Zero-Touch Provisioning (ZTP) (CFG-07) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CHG-02,Configuration Change Control,Mechanisms exist to govern the technical configuration change control processes.,"Configuration Change Control (CHG-02) provides configuration hardening that compensates for the absence of Zero-Touch Provisioning (ZTP) (CFG-07) by eliminating unnecessary services and enforcing secure settings to reduce inherent exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Sensitive / Regulated Data Access Enforcement,CFG-08,"Mechanisms exist to configure Technology Assets, Applications and/or Services (TAAS) to restrict access to sensitive and/or regulated data.","Without Sensitive / Regulated Data Access Enforcement, unauthorized users may gain access to systems or data, increasing risk of data breaches and insider threats.",IAC-20,Access Enforcement,"Mechanisms exist to enforce Logical Access Control (LAC) permissions that conform to the principle of ""least privilege.""","Access Enforcement (IAC-20) provides access control enforcement that compensates for the absence of Sensitive / Regulated Data Access Enforcement (CFG-08) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",DCH-01,Data Protection,Mechanisms exist to facilitate the implementation of data protection controls.,"Data Protection (DCH-01) provides overlapping security capability that compensates for the absence of Sensitive / Regulated Data Access Enforcement (CFG-08) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Sensitive / Regulated Data Actions,CFG-08.1,"Automated mechanisms exist to generate event logs whenever sensitive and/or regulated data is collected, created, updated, deleted and/or archived.","Without Sensitive / Regulated Data Actions, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",DCH-01,Data Protection,Mechanisms exist to facilitate the implementation of data protection controls.,"Data Protection (DCH-01) provides overlapping security capability that compensates for the absence of Sensitive / Regulated Data Actions (CFG-08.1) by addressing related risk objectives through an alternative control mechanism aligned with Technology applicability. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",IAC-20,Access Enforcement,"Mechanisms exist to enforce Logical Access Control (LAC) permissions that conform to the principle of ""least privilege.""","Access Enforcement (IAC-20) provides access control enforcement that compensates for the absence of Sensitive / Regulated Data Actions (CFG-08.1) by restricting system and data access to authorized users through alternative identity and access mechanisms. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Production Software Repository,CFG-09,Mechanisms exist to maintain an authoritative repository for production software.,"Without Production Software Repository, systems or software repositories may operate with insecure settings or untrusted artifacts, expanding the attack surface.",CHG-02,Configuration Change Control,Mechanisms exist to govern the technical configuration change control processes.,"Configuration Change Control (CHG-02) provides configuration and supply-chain hardening that compensates for the absence of Production Software Repository (CFG-09) by enforcing secure settings and trusted software sources to reduce inherent exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",VPM-05,Software & Firmware Patching,"Mechanisms exist to conduct software patching for all deployed Technology Assets, Applications and/or Services (TAAS), including firmware.","Software & Firmware Patching (VPM-05) provides vulnerability management that compensates for the absence of Production Software Repository (CFG-09) by reducing the exploitable attack surface by addressing known weaknesses and prioritizing critical remediations. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Third-Party Libraries,CFG-09.1,Mechanisms exist to restrict the use and import of third-party libraries and/or software components to trustworthy sources.,"Without Third-Party Libraries, third-party risks may go unmanaged, creating supply-chain exposure that compromises organizational systems or data.",TPM-03,Supply Chain Risk Management (SCRM),"Mechanisms exist to:
(1) Evaluate security risks and threats associated with Technology Assets, Applications and/or Services (TAAS) supply chains; and
(2) Take appropriate remediation actions to minimize the organization's exposure to those risks and threats, as necessary.","Supply Chain Risk Management (SCRM) (TPM-03) provides risk identification and prioritization that compensates for the absence of Third-Party Libraries (CFG-09.1) by enabling informed decisions about where to focus resources to manage residual exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",VPM-06,Vulnerability Scanning,Mechanisms exist to detect vulnerabilities and configuration errors by routine vulnerability scanning of systems and applications.,"Vulnerability Scanning (VPM-06) provides vulnerability management that compensates for the absence of Third-Party Libraries (CFG-09.1) by reducing the exploitable attack surface by addressing known weaknesses and prioritizing critical remediations. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Software Repository Protections,CFG-09.2,"Mechanisms exist to protect software repositories from importing untrusted and/or malicious software artifacts by:
(1) Scanning artifacts for malicious content;
(2) Verifying a digital signature or secure hash provided over a secure channel; and
(3) Scanning artifacts to identify plain text or encoded secrets and keys.","Without Software Repository Protections, systems or software repositories may operate with insecure settings or untrusted artifacts, expanding the attack surface.",CFG-02,Secure Baseline Configurations,"Mechanisms exist to develop, document and maintain secure baseline configurations for Technology Assets, Applications and/or Services (TAAS) that are consistent with industry-accepted system hardening standards.","Secure Baseline Configurations (CFG-02) provides configuration and supply-chain hardening that compensates for the absence of Software Repository Protections (CFG-09.2) by enforcing secure settings and trusted software sources to reduce inherent exposure. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",END-04,Malicious Code Protection (Anti-Malware),Mechanisms exist to utilize antimalware technologies to detect and eradicate malicious code.,"Malicious Code Protection (Anti-Malware) (END-04) provides overlapping security capability that compensates for the absence of Software Repository Protections (CFG-09.2) by addressing related risk objectives through an alternative control mechanism. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Software Development Repository,CFG-09.3,Mechanisms exist to maintain an authoritative repository for software development activities that is separate from production software.,"Without Software Development Repository, systems or software repositories may operate with insecure settings or untrusted artifacts, expanding the attack surface.",TDA-08,"Separation of Development, Testing and Operational Environments","Mechanisms exist to manage separate development, testing and operational environments to reduce the risks of unauthorized access or changes to the operational environment and to ensure no impact to production Technology Assets, Applications and/or Services (TAAS).","Separation of Development, Testing and Operational Environments (TDA-08) provides periodic assessment and verification that compensates for the absence of Software Development Repository (CFG-09.3) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CHG-04,Access Restriction For Change,Mechanisms exist to enforce configuration restrictions in an effort to restrict the ability of users to conduct unauthorized changes.,"Access Restriction For Change (CHG-04) provides access control enforcement that compensates for the absence of Software Development Repository (CFG-09.3) by restricting system and data access through alternative identity and access management mechanisms. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Continuous Monitoring,MON-01,Mechanisms exist to facilitate the implementation of enterprise-wide monitoring controls.,"Not Applicable (N/A) - Not eligible for a compensating control, due to being a material control (control weighting of 10/10). A deficiency with or absence of a material control would be a material weakness to the organization's Security, Compliance & Resilience Program (SCRP).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Intrusion Detection & Prevention Systems (IDS & IPS),MON-01.1,"Mechanisms exist to implement Intrusion Detection / Prevention Systems (IDS / IPS) technologies on critical systems, key network segments and network choke points.","Without Intrusion Detection & Prevention Systems (IDS & IPS), security events may go undetected, allowing threats to persist unnoticed and increasing breach dwell time.",MON-02,Centralized Collection of Security Event Logs,"Mechanisms exist to utilize a Security Incident Event Manager (SIEM), or similar automated tool, to support the centralized collection of security-related event logs.","Centralized Collection of Security Event Logs (MON-02) provides detective monitoring capability that compensates for the absence of Intrusion Detection & Prevention Systems (IDS & IPS) (MON-01.1) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",MON-17,Event Log Analysis & Triage,Mechanisms exist to ensure event log reviews include analysis and triage practices that integrate with the organization's established incident response processes.,"Event Log Analysis & Triage (MON-17) provides detective monitoring capability that compensates for the absence of Intrusion Detection & Prevention Systems (IDS & IPS) (MON-01.1) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Automated Tools for Real-Time Analysis,MON-01.2,"Mechanisms exist to utilize a Security Incident Event Manager (SIEM), or similar automated tool, to support near real-time analysis and incident escalation.","Without Automated Tools for Real-Time Analysis, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CPL-04,Audit Activities,Mechanisms exist to thoughtfully plan audits by including input from operational risk and compliance partners to minimize the impact of audit-related activities on business operations.,"Audit Activities (CPL-04) provides detective monitoring capability that compensates for the absence of Automated Tools for Real-Time Analysis (MON-01.2) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",MON-02,Centralized Collection of Security Event Logs,"Mechanisms exist to utilize a Security Incident Event Manager (SIEM), or similar automated tool, to support the centralized collection of security-related event logs.","Centralized Collection of Security Event Logs (MON-02) provides detective monitoring capability that compensates for the absence of Automated Tools for Real-Time Analysis (MON-01.2) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Inbound & Outbound Communications Traffic,MON-01.3,Mechanisms exist to continuously monitor inbound and outbound communications traffic for unusual or unauthorized activities or conditions.,"Without Inbound & Outbound Communications Traffic, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",MON-02,Centralized Collection of Security Event Logs,"Mechanisms exist to utilize a Security Incident Event Manager (SIEM), or similar automated tool, to support the centralized collection of security-related event logs.","Centralized Collection of Security Event Logs (MON-02) provides detective monitoring capability that compensates for the absence of Inbound & Outbound Communications Traffic (MON-01.3) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",MON-17,Event Log Analysis & Triage,Mechanisms exist to ensure event log reviews include analysis and triage practices that integrate with the organization's established incident response processes.,"Event Log Analysis & Triage (MON-17) provides detective monitoring capability that compensates for the absence of Inbound & Outbound Communications Traffic (MON-01.3) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
System Generated Alerts,MON-01.4,"Mechanisms exist to generate, monitor, correlate and respond to alerts from physical, cybersecurity, data protection and supply chain activities to achieve integrated situational awareness.","Without System Generated Alerts, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",MON-06,Monitoring Reporting,Mechanisms exist to provide an event log report generation capability to aid in detecting and assessing anomalous activities.,"Monitoring Reporting (MON-06) provides detective monitoring capability that compensates for the absence of System Generated Alerts (MON-01.4) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",MON-17,Event Log Analysis & Triage,Mechanisms exist to ensure event log reviews include analysis and triage practices that integrate with the organization's established incident response processes.,"Event Log Analysis & Triage (MON-17) provides detective monitoring capability that compensates for the absence of System Generated Alerts (MON-01.4) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the technology-focused nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
