id,erl_id,area_of_focus,documentation_artifact,artifact_description,scf_control_mappings,scf_version,import_id,created_at,updated_at
569b06c8-1984-4766-96c2-2906e553b061,E-AAT-02,Artificial Intelligence (AI) & Autonomous Technologies Governance,Compliance Obligations for Artificial Intelligence and Autonomous Technologies (AAT).,"Documented evidence of applicable statutory, regulatory and contractual cybersecurity & data privacy obligations for Artificial Intelligence and Autonomous Technologies (AAT).","[""AAT-01.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
56c8ef3f-3593-4424-bf5c-3704f73dddb2,E-CAP-04,Capacity Management,Dynamic Expansion Capabilities,"Documented evidence of dynamic expansion capabilities (e.g., elastic expansion) to meet capacity and/or performance requirements for critical systems, applications and/or services.","[""CAP-05""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
56d34e18-f9c5-4338-9e49-af3cf1f262ec,E-MON-05,Event Log Monitoring,Centralized Event Log Collection,Documented evidence of security-relevant activities being logged and included as part of the centralized event log collection and review/analysis process.,"[""MON-01.2"",""MON-01.8"",""MON-02"",""MON-02.2"",""MON-02.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
56f188d6-0fba-477a-bb19-e397372f3cf2,E-AST-12,Asset Management,Secure Baseline Configurations Reviews,Documented evidence of a review process to ensure Secure Baseline Configurations (SBC) are current and applicable.,"[""CFG-02"",""CFG-02.1"",""CFG-02.5"",""CFG-03"",""NET-04"",""NET-04.1"",""NET-04.6""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
573c1eec-6c59-428e-a030-3a9749a42107,E-BCM-14,Business Continuity,Recovery Operations Criteria,Documented evidence of specific criteria to activate Business Continuity / Disaster Recovery (BC/DR) plans.,"[""BCD-01.5""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
5a36d847-1f2a-4b48-b0ed-5906ba6639f5,E-AST-24,Asset Management,Asset Categorization,"Documented evidence of a methodology to categorize technology assets (e.g., criticality and data classification considerations)","[""AST-31"",""AST-31.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
5a9124d9-81f3-48eb-b6bb-f382d75e5a54,E-DCH-08,Data Protection,Authorization Documentation,Documented evidence of that identifies authorized users and processes acting on behalf of authorized users.,"[""CFG-08"",""DCH-01.4""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
5b1785c2-493a-44ab-bf12-15ec8f1b8085,E-BCM-09,Business Continuity,COOP Dependency Analysis,"Documented evidence of a Continuity of Operations Plan (COOP)-related dependency analysis for applications, systems, services, facilities, stakeholders and third-parties.","[""AST-01.1"",""RSK-02"",""RSK-02.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
5dcf05d8-07ee-4156-8fac-f25282cc9e65,E-PRI-07,Privacy,Personal Data Categories,Documented evidence of formal personal data categories.,"[""PRI-05.7""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
5e1bf927-d3db-45a5-ac1b-532e16568de8,E-AST-23,Asset Management,Geolocation Inventory,"Documented evidence of designated internal and third-party facilities where organizational data is stored, transmitted and/or processed.","[""BCD-02.4"",""CLD-09"",""DCH-19"",""DCH-24""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
5e272d0e-0d65-4d96-a0c6-8a423c04414d,E-TDA-08,Technology Design & Acquisition,Secure Engineering Principles (SEP),"Documented evidence of defined secure engineering principles used to ensure Sensitivity, Integrity, Availability & Safety (CIAS) concerns are properly addressed in the design and implementation of systems, applications and services.","[""SEA-01"",""TDA-01"",""TDA-06"",""TDA-14"",""TDA-14.1"",""TDA-14.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
617bd9ff-8e5c-4618-9bc2-4dd7bb4eeb68,E-AST-03,Asset Management,Asset Disposal Evidence,"Documented evidence of asset disposal/destruction (e.g., asset tracking by serial # for shredding, degaussing, etc.).","[""AST-09"",""DCH-08"",""DCH-09"",""DCH-09.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
6380d540-f776-4266-93ba-0bdb6a8b0427,E-AST-20,Asset Management,Secure Baseline Configurations - Server Class Systems,Documented evidence of secure baseline configurations for all deployed types of server-class operating systems.,"[""CFG-02"",""CFG-02.5"",""CFG-03"",""CFG-03.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
63919e81-5f94-4d8c-a547-4055334a7523,E-AST-15,Asset Management,Secure Baseline Configurations - Embedded Technologies,Documented evidence of secure baseline configurations for all deployed types of embedded technologies.,"[""CFG-02"",""CFG-03"",""CFG-02.5""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
64ff3d79-b044-4c1b-baa7-7c9c313fa5b6,E-SAT-04,Education,Recurring User Training,"Documented evidence of recurring (e.g., annual) user training for cybersecurity and/or data privacy topics.","[""SAT-01"",""SAT-03.4"",""SAT-03.6"",""SAT-03.7"",""SAT-04"",""HRS-05.7"",""THR-05""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
652905cc-b842-4ed1-b7f4-16c26fb637e6,E-GOV-07,Cybersecurity & Data Protection Management,Charter - Data Management Board (DMB),Documented evidence of the organization's Data Management Board (DMB) charter and mission.,"[""GOV-01.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
684d7502-d25e-4d0c-9a9e-7afee414aa52,E-RSK-01,Risk Management,Risk Management Program (RMP),"Documented evidence of a Risk Management Program (RMP). This is program-level documentation in the form of a runbook, playbook or a similar format provides guidance on organizational practices that support existing policies and standards.","[""RSK-01"",""RSK-01.1"",""RSK-02"",""RSK-12""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
68a2a80f-14a2-4303-af14-ffbfe5931e81,E-RSK-07,Risk Management,Risk Tolerance,Documented evidence the organization has a defined risk tolerance.,"[""RSK-01.1"",""RSK-01.4""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
69442c7f-e856-4166-968d-df180e6b501f,E-HRS-03,Human Resources,Assigned Roles - Cybersecurity Staff,List of employed or contract personnel assigned to cybersecurity roles.,"[""HRS-02"",""HRS-02.1"",""HRS-03"",""OPS-01""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
6fdb0c1e-d15a-458c-8ede-c13a97b70ae4,E-THR-08,Threat Management,Behavioral Baselining,Documented evidence of behavioral baselining to determine normal vs abnormal activities.,"[""THR-11""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
7038de80-c1b3-4b5a-9092-d08f88c10ff9,E-MON-07,Event Log Monitoring,Situational Awareness,"Documented evidence of the organization leveraging knowledge of event log generation to gain situational awareness of cross-domain activities (e.g., technology issues, security events, policy violations, service provider activities, remote workforce activities, physical security events, etc.).","[""MON-01"",""MON-01.1"",""MON-01.3"",""MON-01.4"",""MON-02.1"",""MON-11.3"",""MON-16"",""MON-16.1"",""MON-16.2"",""MON-16.3""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
7051ad94-6a9e-45d0-967a-6ac42327598f,E-AAT-04,Artificial Intelligence (AI) & Autonomous Technologies Governance,Business Case for Artificial Intelligence and Autonomous Technologies (AAT),Documented evidence of a business case for Artificial Intelligence and Autonomous Technologies (AAT).,"[""AAT-04""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
7133b412-c7cd-4662-8483-0496b89c0bc0,E-CPL-09,Compliance,Non-Compliance Oversight Reporting,Documented evidence of governance oversight reporting of non-compliance to the organization's executive leadership.,"[""CPL-02"",""GOV-01.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
726c77e3-459a-4e9c-a32a-358cb3c09d86,E-HRS-25,Human Resources,Separation of Duties (SoD),Documented evidence of personnel management practices to implement and maintain Separation of Duties (SoD) to prevent potential inappropriate activity without collusion.,"[""HRS-11"",""HRS-12""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
72f104d6-1f49-4b06-aa1e-d6a0c74b0e84,E-PES-05,"Physical Security ",Physical Security Operations,Documented evidence of the organization's physical security capabilities as it pertains to operating and monitoring Physical Access Control (PAC)mechanisms.,"[""PES-01"",""PES-02"",""PES-02.1"",""PES-03"",""PES-05""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
734184ea-dd50-4eb1-acae-c819179bc95a,E-HRS-04,Human Resources,Assigned Roles - Data Privacy Staff,List of employed or contract personnel assigned to data privacy roles.,"[""HRS-02"",""HRS-02.1"",""HRS-03"",""OPS-01""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
73b79a82-26c4-422e-a89a-38c04250a57a,E-MON-08,Event Log Monitoring,Integrity Monitoring,"Documented evidence of integrity monitoring, where files and/or configurations on critical systems, applications and/or services are actively monitored for changes that could indicate unauthorized changes.","[""MON-01.7""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
73d0ddbe-d5d2-45bb-8f1e-0a31846a0fa0,E-GOV-14,Cybersecurity & Data Protection Management,Materiality Threshold Definition,Documented evidence of criteria to define the organization's materiality threshold.,"[""GOV-16""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
744213e2-1ffa-49f4-a529-626eb0d56d49,E-TDA-12,Technology Design & Acquisition,Software Bill of Materials (SBOM),Documented evidence of a Software Bill of Materials (SBOM).,"[""TDA-04.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
7522fa72-256b-4c0b-92e4-c6e78f6aecd6,E-HRS-23,Human Resources,Critical Cybersecurity & Data Privacy Skills,Documented evidence of personnel management practices to formally identify critical cybersecurity skills needed to support business operations.,"[""HRS-03.2"",""HRS-13""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
752fdce9-eb89-43d3-baa0-49ad1350efde,E-THR-07,Threat Management,Threat Analysis,Documented evidence of a completed threat analysis.,"[""THR-10""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
755e8689-5bff-484a-827a-5055f98e9d69,E-DCH-05,Data Protection,Data Flow Diagram (DFD),"Documented evidence of a Data Flow Diagram (DFD) that accurately identifies where sensitive/regulated data is stored, transmitted and/or processed.","[""AST-02.8"",""AST-04"",""NET-02""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
764156dc-97c7-4a49-8f20-6b3da5bf8638,E-PRM-01,Resource Management,Cybersecurity Business Plan (CBP),Documented evidence of a cybersecurity-specific business plan that documents a strategic plan and discrete objectives.,"[""GOV-08"",""PRM-01.1"",""PRM-03""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
765521ed-1e94-4ca8-b139-a2246d2e721f,E-GOV-17,Cybersecurity & Data Protection Management,Cybersecurity & Data Privacy Status Reports,Documented evidence of status reports of the organization's cybersecurity and/or data privacy program that were submitted to applicable statutory and/or regulatory authorities.,"[""GOV-17""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
765f7a7d-f4b3-4e61-acf5-c0c47790cd9c,E-MNT-04,Maintenance,Infrastructure Maintenance,Documented evidence of maintenance activities for the organization's infrastructure and supporting systems.,"[""MNT-01"",""MNT-02"",""MNT-03"",""MNT-03.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
77dd0c47-d350-4934-9d59-958209a18a1d,E-TDA-05,Technology Design & Acquisition,Failure Mode and Effect Analysis (FMEA),"Documented evidence of an engineering method designed to define, identify, and present solutions for system failures, problems, or errors.","[""TDA-01.1"",""TDA-06.5"",""TDA-09""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
77eb7dc5-bbeb-4c80-9a62-b84c5c91740b,E-DCH-09,Data Protection,Assigned Responsibilities,Documented evidence of data stewardship being assigned and communicated to individuals entrusted with sensitive and/or regulated data.,"[""CRY-01"",""DCH-01.1"",""DCH-14""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
79206d49-8e73-463e-ab74-1265e2bb1884,E-TDA-16,Technology Design & Acquisition,Vulnerability Disclosure Program (VDP),"Documented evidence of a Vulnerability Disclosure Program (VDP) (e.g., bug bounty).","[""THR-06""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
79320cba-6831-4cd4-a2f5-5342ee99f944,E-HRS-24,Human Resources,Critical Cybersecurity & Data Privacy Skill Gaps,Documented evidence of personnel management practices to formally identify critical cybersecurity & data privacy skill gaps.,"[""HRS-13"",""HRS-13.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
7b93460c-0326-4079-b35f-df5040dd5bd3,E-AST-01,Asset Management,IT Asset Management (ITAM),"Documented evidence of an IT Asset Management (ITAM) program that addresses the due diligence and due care activities associated with maintaining both secure and compliant systems, applications and services.","[""AST-01"",""AST-03"",""AST-03.1"",""AST-10"",""CFG-05"",""END-01"",""IAC-01"",""IAC-02.2"",""MON-03"",""MON-16.4""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
7c0e7c66-7315-408e-a22e-c3c8fe9e4f99,E-AST-25,Asset Management,Logical Tamper Detection Tool,"Documented evidence of software that is implemented and configured to detect logical tampering (e.g., configurations).","[""AST-15""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
7e97cbcd-0921-49cf-ab36-79f55dfc4f4f,E-CPL-06,Compliance,Manufacturer Disclosure Statement for Medical Device Security (MDS2),Documented Manufacturer Disclosure Statement for Medical Device Security (MDS2) that communicates information about medical device cybersecurity & data privacy characteristics to current device owners and potential buyers. [note MDS2 is specific to medical device manufacturers],"[""TDA-01.1"",""TDA-02.1"",""TDA-02.5"",""TDA-04"",""TDA-04.1"",""TPM-04"",""TPM-04.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
7efaf3e9-2cfd-472b-baeb-6a303fad6997,E-PES-01,Physical Security,Environmental Monitoring,"Documented evidence of environmental monitoring (e.g., water leaks, temperature, humidity, etc.)","[""PES-01"",""PES-07"",""PES-07.5"",""PES-08"",""PES-09""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
7f824826-4ed1-408d-9cfb-718b1c143df9,E-AAT-07,Artificial Intelligence (AI) & Autonomous Technologies Governance,"Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) Practices","Documented evidence of Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) practices.","[""AAT-10""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
810d419e-7590-4342-9586-599ea6259286,E-TPM-02,Third-Party Management,Third-Party Criticality Assessment,Documented evidence of third-party criticality assessment that evaluates the critical nature of each third-party the organization works with.,"[""RSK-02"",""RSK-02.1"",""TDA-06.1"",""TPM-02"",""TPM-03.2"",""TPM-03.3"",""TPM-04.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
827eed19-db1d-4c5a-ba5b-0c4f5fe93743,E-TDA-04,Technology Design & Acquisition,Design and Development Plan (DDP),Documented evidence of an engineering method to control the design process and govern the lifecycle of the product/service.,"[""SEA-01"",""SEA-02"",""SEA-03"",""TDA-02.3"",""TDA-05"",""TDA-06.3"",""TDA-14"",""TDA-14.1"",""TDA-14.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
84a90159-9b08-4f79-9af3-656c3b6efbcd,E-AST-19,Asset Management,Secure Baseline Configurations - Network Devices,Documented evidence of secure baseline configurations for all deployed types of network devices.,"[""CFG-02"",""CFG-02.5"",""CFG-03"",""NET-04"",""NET-04.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
85c7ed2a-0207-48ac-ac4f-fce20b2117e2,E-NET-02,Network Security,Wireless Rogue Detection,Documented evidence of automated or manual means to detect rogue wireless devices.,"[""NET-15.5""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
885adcfc-3b7f-4368-a4c4-d6153b311f3e,E-AST-22,Asset Management,Provenance,"Documented evidence of that tracks the origin, development, ownership, location and changes to systems, system components and associated data.","[""AST-03.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
8881fbb8-1fff-4f60-b29d-adcdbd2dd655,E-IAM-05,Identity & Access Management,Identity & Access Management (IAM) Function,"Documented evidence of an Identity & Access Management (IAM), or similar function, that facilitates the implementation of identification and access management controls.","[""IAC-01"",""IAC-02"",""IAC-02.2"",""IAC-03"",""IAC-03.5"",""IAC-04"",""IAC-05"",""IAC-21"",""IAC-28""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
89dba589-9b49-4370-801d-ac8abb7507c4,E-CPL-07,Compliance,Control Assessments,Documented evidence of internal or third-party control assessments to provide governance oversight of cybersecurity & data privacy controls.,"[""CPL-02"",""CPL-02.1"",""CPL-03"",""CPL-03.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
8a9384dc-6cc2-40ef-b13a-de085d2719ad,E-HRS-07,Human Resources,Role Assignment - CIO,Documented evidence of a formal role assignment to the Chief Information Officer (CIO) position.,"[""GOV-04""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
8ae1b655-6ad9-428b-a106-145bea006bd5,E-IAM-01,Identity & Access Management,Access Permission Review,Documented evidence of periodic access permission reviews.,"[""IAC-17""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
8c084b30-2381-47a2-8250-5be89db8fc19,E-AAT-09,Artificial Intelligence (AI) & Autonomous Technologies Governance,Intellectual Property (IP) Infringement Assessment of Artificial Intelligence and Autonomous Technologies (AAT),Documented evidence of a legal opinion on the potential for Intellectual Property (IP) infringement by the organization's Artificial Intelligence (AI) and Autonomous Technologies (AAT) initiatives.,"[""AAT-12""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
8d4c2de9-eb2f-40c8-b82d-95f3703bfbb2,E-RSK-05,Risk Management,Supply Chain Risk Assessment (SCRA),Documented evidence of supply chain-specific risk assessment that evaluates risks that are specific to its supply chain.,"[""RSK-09.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
8de834c3-c40a-452d-a710-10bbfe2577a8,E-BCM-11,Business Continuity,Backups - Local,Documented evidence of event logs for the on-site / local data backup solution.,"[""BCD-11"",""BCD-11.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
8ea65c4d-cd1f-4d93-8be1-e951fb1b4237,E-GOV-09,Cybersecurity & Data Protection Management,Cybersecurity & Data Protection Standards,"Documented evidence of an appropriately-scoped cybersecurity & data protection standards. Standards are mandatory requirements regarding processes, actions and configurations. Standards are intended to be granular and prescriptive to ensure systems, applications and processes are designed and operated to include appropriate cybersecurity & data protection protections","[""GOV-02""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
8f6d7269-d80d-4986-8ad0-99feee7d5ea3,E-CRY-01,Cryptographic Protections,Cryptographic Protections,Documented evidence of organization-approved cryptographic solutions and modules for both data at rest and in transit.,"[""CRY-01"",""CRY-03"",""CRY-04"",""CRY-05"",""CRY-09"",""CRY-09.1"",""CRY-09.2"",""DCH-01"",""DCH-01.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
8fe512ee-b5d8-4277-8a1f-c5237bc90277,E-THR-03,Threat Management,Threat Intelligence Feeds (TIF),Documented evidence of threat intelligence feeds.,"[""THR-03""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
91fe1908-65a2-49a7-a0ce-2c8eab69897c,E-RSK-08,Risk Management,Risk Appetite,Documented evidence the organization has a defined risk appetite.,"[""RSK-01.1"",""RSK-01.5""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
92b27f5e-3aba-40ae-aa32-c73e406485a1,E-IAM-04,Identity & Access Management,User & Service Inventory,Documented evidence of an inventory of authorized users and services.,"[""IAC-01.3""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
943b9fde-22d2-45ec-a296-756d1e5284cd,E-AST-14,Asset Management,Secure Baseline Configurations - Databases,Documented evidence of secure baseline configurations for all deployed types of databases.,"[""CFG-02"",""CFG-03"",""CFG-02.5""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
94ab5279-1cc0-44a9-9234-0fc3ff2739b1,E-GOV-18,Cybersecurity & Data Protection Management,Exception Management,"Documented evidence of authorized exceptions to standards (e.g., configurations, practices, etc.)","[""CRY-01.1"",""GOV-02.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
95b54940-7b8f-4618-80ac-6d5a2d89befd,E-HRS-14,Human Resources,Responsibilities Review,Documented evidence of a formal review process to ensure assigned responsibilities currently reflect business needs for the assigned role.,"[""IAC-17""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
96dac0d0-7ac8-4591-b042-75212a6b8823,E-TDA-14,Technology Design & Acquisition,System Security & Privacy Plan (SSPP),"Documented evidence of at least one (1) System Security Plan (SSPP) that covers the sensitive/regulated data environment. There may be multiple SSPPs, based on applicable contracts.","[""AST-02.4"",""IAO-03""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
9ad6acac-25af-42ad-b350-b6f71ec51012,E-MON-02,Event Log Monitoring,Malware Activity,Documented evidence of malware activity being logged and included as part of the centralized event log collection and review/analysis process.,"[""MON-01.8"",""MON-02.2"",""END-04.3""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
9adae8f7-3413-452b-acd1-e88d93b3ca75,E-TDA-15,Technology Design & Acquisition,Updateability / Patchability View,Documented evidence of a description of the end-to-end process permitting software updates and patches to be deployed to the device/service.,"[""TDA-01.1"",""TDA-01.2"",""TDA-04.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
9c0184ad-26bc-4dd8-8f91-5ac09337ad13,E-VPM-01,Vulnerability & Patch Management,Vulnerability & Patch Management Program (VPMP),"Documented evidence of a Vulnerability & Patch Management Program (VPMP). This is program-level documentation in the form of a runbook, playbook or a similar format provides guidance on organizational practices that support existing policies and standards.","[""VPM-01"",""VPM-02"",""VPM-03""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
9c0fb66b-6cd1-481e-9eea-e87728a755b6,E-CAP-03,Capacity Management,Technology Performance Monitoring,Documented evidence of performance monitoring for technology-related capacity and/or performance criteria.,"[""CAP-04""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
9c61e231-f702-4fed-8b37-cc343c45c2af,E-AST-10,Asset Management,Prohibited Equipment List (PEM),Documented evidence of equipment identified by Federal Acquisition Regulation (FAR) section 889 prohibitions for certain telecommunications equipment.,"[""AST-17""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
9cf87911-904d-4139-a412-1fb320911ebb,E-AAT-06,Artificial Intelligence (AI) & Autonomous Technologies Governance,Impact Assessments for Artificial Intelligence and Autonomous Technologies (AAT),"Documented evidence of impact assessments of proposed Artificial Intelligence (AI) and Autonomous Technologies (AAT) on individuals, groups, communities, organizations and society.","[""AAT-07.1"",""AAT-07.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
9e426327-cd31-4d81-8efa-84a6995405df,E-VPM-04,Vulnerability Management,Red Team Testing,"Documented evidence of ""red team"" testing.","[""VPM-07.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
9f03b319-b204-425f-a3c6-fc7bef3b8261,E-AST-02,Asset Management,Asset Scoping Guidance,"Documented evidence of an asset scoping guidance. This is program-level documentation in the form of a runbook, playbook or a similar format provides guidance on defining in-scope systems, applications, services, processes and third-parties.","[""AST-04.1"",""AST-04.2"",""AST-04.3"",""CPL-01.2"",""IAO-01.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
9f69b191-4139-488c-b47f-b09c325f39ad,E-IAM-06,Identity & Access Management,"Authenticate, Authorize and Audit (AAA) Solution","Documented evidence of an Authenticate, Authorize and Audit (AAA) solution (on-premises and hosted by External Service Providers (ESP)).","[""IAC-01.2"",""IAC-02"",""IAC-02.2"",""IAC-03"",""IAC-03.5"",""IAC-04"",""IAC-05"",""IAC-21"",""IAC-28""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
a1683d9d-5646-405e-a290-aa1b855819fa,E-CPL-04,Compliance,Internal Audit (IA),Documented evidence of an Internal Audit (IA) capability.,"[""CPL-02.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
a38b8a64-0113-4b6b-bf4d-cce9c6446b6c,E-IAM-02,Identity & Access Management,Defined Roles & Authorizations (RBAC),"Documented evidence of defined access control-specific roles (e.g., Role Based Access Control (RBAC)) that affect both logical and physical access authorizations.","[""CFG-05"",""CHG-04"",""DCH-03"",""END-03"",""IAC-08"",""IAC-21""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
a3c0060b-c59b-4cc1-8e2a-be5f58def82c,E-HRS-11,Human Resources,Role Assignment - Sensitive / Regulated Data,Documented evidence of a formal role assignment to personnel who are cleared to handle sensitive/regulated data.,"[""HRS-02"",""HRS-02.1"",""HRS-03""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
a5ba6951-f144-4687-ad99-cdfc5cece8bb,E-GOV-01,Cybersecurity & Data Protection Management,Charter - Cybersecurity Program,Documented evidence of a charter to establish and resource the organization's cybersecurity program.,"[""GOV-01""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
a6011ae4-a8ea-4b87-bcb8-9c812842f245,E-IRO-07,Incident Response,IRP Updates,Documented evidence of a periodic review process for the organization's Incident Response Plan (IRP) to identify necessary updates.,"[""IRO-04.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
a80f8a65-b8c4-4066-ad95-c39196528e69,E-MNT-03,Maintenance,Patch Management,"Documented evidence of maintenance activities for systems, applications and services management (e.g., patch management).","[""VPM-01"",""VPM-04"",""VPM-05""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
